nama,jenis,lat,lon,provinsi
Tangkawang,village,-2.35972,115.24996,KALIMANTAN SELATAN
Haur Kuning,village,-3.52423,114.59788,KALIMANTAN SELATAN
Damparan,village,-2.13609,114.86973,KALIMANTAN TENGAH
Murung B,village,-2.64474,115.46318,KALIMANTAN SELATAN
Santilik,village,-1.99301,112.57372,KALIMANTAN TENGAH
Telok Selong Ulu,village,-3.37879,114.83336,KALIMANTAN SELATAN
Pahawan,village,-1.66765,113.94111,KALIMANTAN TENGAH
Pihanin Raya,village,-2.63343,115.11794,KALIMANTAN SELATAN
Sungai Seluang Pasar,village,-3.13079,114.5893,KALIMANTAN SELATAN
Ribang,village,-1.97011,115.54721,KALIMANTAN SELATAN
Danau Pantau,village,-1.65908,114.48874,KALIMANTAN TENGAH
Purwosari II,village,-3.32423,114.45354,KALIMANTAN SELATAN
Rantau Karau Hulu,village,-2.49307,115.19082,KALIMANTAN SELATAN
Ilung Pasar Lama,village,-2.52903,115.41066,KALIMANTAN SELATAN
Kalumpang,village,-3.00165,115.18537,KALIMANTAN SELATAN
Luwuk Kanan,village,-1.97309,113.42999,KALIMANTAN TENGAH
Sungai Riam,village,-3.90078,114.72745,KALIMANTAN SELATAN
Lok Binuang,village,-2.72974,115.31304,KALIMANTAN SELATAN
Pandan Sari,village,-3.15978,114.50836,KALIMANTAN SELATAN
Bagendang Permai,village,-2.7705,112.9076,KALIMANTAN TENGAH
Belimbing,village,-2.14827,115.40151,KALIMANTAN SELATAN
Mekar,village,-3.39631,114.84649,KALIMANTAN SELATAN
Batu Tangga,village,-2.52866,115.53232,KALIMANTAN SELATAN
Tampang Awang,village,-3.41494,114.58447,KALIMANTAN SELATAN
Jahitan,village,-3.00173,112.30241,KALIMANTAN TENGAH
Benawa Tengah,village,-2.59264,115.39028,KALIMANTAN SELATAN
Pulau Sari,village,-3.66083,114.70754,KALIMANTAN SELATAN
Satiruk,village,-3.03746,113.09579,KALIMANTAN TENGAH
Kambang Habang Lama,village,-3.09892,115.14831,KALIMANTAN SELATAN
Longkong,village,-2.44483,115.14958,KALIMANTAN SELATAN
Lamida Atas,hamlet,-2.27272,115.51672,KALIMANTAN SELATAN
Jarenang,village,-2.66654,114.79556,KALIMANTAN SELATAN
Camba,village,-2.35782,112.87532,KALIMANTAN TENGAH
Mali Mali,village,-3.41481,114.91439,KALIMANTAN SELATAN
Purwodadi,village,-2.88728,114.15587,KALIMANTAN TENGAH
Ambahai,village,-2.51392,114.91788,KALIMANTAN SELATAN
Keladan Baru,village,-3.48041,114.62203,KALIMANTAN SELATAN
Hapalam,village,-1.7784,113.31389,KALIMANTAN TENGAH
Gambah Luar Muka,village,-2.76113,115.2743,KALIMANTAN SELATAN
Handil Negara,village,-3.60203,114.6265,KALIMANTAN SELATAN
Tamiyang,village,-2.85024,115.20485,KALIMANTAN SELATAN
Henda,village,-2.60664,114.21017,KALIMANTAN TENGAH
Cintapuri,village,-3.22029,115.00458,KALIMANTAN SELATAN
Sungai Pinang,village,-2.63333,115.10157,KALIMANTAN SELATAN
Sungai Haji,village,-2.44087,115.17922,KALIMANTAN SELATAN
Mungku Baru,village,-1.64669,113.69511,KALIMANTAN TENGAH
Terusan Karya,village,-3.23401,114.24026,KALIMANTAN TENGAH
Marabahan Kota,village,-2.98397,114.76099,KALIMANTAN SELATAN
Salikung,village,-1.773,115.53127,KALIMANTAN SELATAN
Sumber Alaska,village,-2.64378,114.55801,KALIMANTAN TENGAH
Sumber Baru,village,-3.29204,115.24961,KALIMANTAN SELATAN
Muara Palantau,village,-1.93993,114.99981,KALIMANTAN TENGAH
Putat Atas,village,-2.46976,115.17945,KALIMANTAN SELATAN
Kaliring,village,-2.79561,115.29064,KALIMANTAN SELATAN
Teluk Bayur,village,-2.26364,115.58969,KALIMANTAN SELATAN
Lokpaikat,village,-2.89475,115.21302,KALIMANTAN SELATAN
Kalintamui,village,-2.40822,115.30664,KALIMANTAN SELATAN
Baru,village,-2.39735,115.52684,KALIMANTAN SELATAN
Cabi,village,-3.29607,115.01829,KALIMANTAN SELATAN
Sungai Kitano,village,-3.36336,114.82622,KALIMANTAN SELATAN
Murung Panggang,village,-2.4086,115.19854,KALIMANTAN SELATAN
Sukakarya,village,-2.36469,114.85139,KALIMANTAN TENGAH
Kadundung,village,-2.63442,115.31198,KALIMANTAN SELATAN
Tumbang Mujam,village,-1.7635,112.75537,KALIMANTAN TENGAH
Penggalaman,village,-3.33391,114.74049,KALIMANTAN SELATAN
Tahawa,village,-1.87973,113.95328,KALIMANTAN TENGAH
Datar Batung,village,-2.51961,115.62959,KALIMANTAN SELATAN
Panggung Baru,village,-3.74101,114.73478,KALIMANTAN SELATAN
Paringin Kota,village,-2.33803,115.453,KALIMANTAN SELATAN
Simpang Arja,village,-3.0558,114.7318,KALIMANTAN SELATAN
Saka Mangkahai,village,-2.8259,114.35219,KALIMANTAN TENGAH
Sungsum,village,-2.44643,115.59488,KALIMANTAN SELATAN
Tamban Raya Baru,village,-3.2927,114.43286,KALIMANTAN SELATAN
Kamayahan,village,-2.38694,115.29343,KALIMANTAN SELATAN
Danau Ganting,village,-1.75129,114.85215,KALIMANTAN TENGAH
Haruyan,village,-2.69314,115.34977,KALIMANTAN SELATAN
Landasan Ulin Tengah,village,-3.45577,114.7269,KALIMANTAN SELATAN
Buana Mustika,village,-1.86512,112.66882,KALIMANTAN TENGAH
Sungai Batang,village,-3.35535,114.81433,KALIMANTAN SELATAN
Mekar Tani,village,-2.96342,113.28985,KALIMANTAN TENGAH
Tambangan,village,-3.37024,114.85525,KALIMANTAN SELATAN
Angkinang Selatan,village,-2.7341,115.28671,KALIMANTAN SELATAN
Karang Buah,village,-3.14943,114.6357,KALIMANTAN SELATAN
Kalumpang,village,-2.45736,114.48985,KALIMANTAN TENGAH
Sungai Telan Besar,village,-3.44247,114.49928,KALIMANTAN SELATAN
Sungai Durait Tengah,village,-2.5312,115.17134,KALIMANTAN SELATAN
Lunjuk,village,-2.56024,115.44839,KALIMANTAN SELATAN
Bangkal,village,-3.51317,114.81678,KALIMANTAN SELATAN
Samuda Kecil,village,-2.87121,112.97981,KALIMANTAN TENGAH
Andhika,village,-2.96527,115.09041,KALIMANTAN SELATAN
Auh,village,-2.46386,115.59594,KALIMANTAN SELATAN
Baru,village,-2.45635,115.13066,KALIMANTAN SELATAN
Pararapak,village,-1.62215,114.82154,KALIMANTAN TENGAH
Tarungin,village,-3.14293,115.17583,KALIMANTAN SELATAN
Pulau Telo,village,-2.99105,114.37448,KALIMANTAN TENGAH
Talan,village,-2.26165,115.26975,KALIMANTAN SELATAN
Pasayangan Barat,village,-3.40587,114.84147,KALIMANTAN SELATAN
Sumanggi,village,-2.51893,115.38721,KALIMANTAN SELATAN
Penyambaran,village,-3.44261,114.93878,KALIMANTAN SELATAN
Banua Usang,village,-2.70502,112.21086,KALIMANTAN TENGAH
Awang Besar,village,-2.62096,115.38827,KALIMANTAN SELATAN
Handil Suruk,village,-3.55501,114.61481,KALIMANTAN SELATAN
Batu Botuk,village,-1.6995,115.81695,KALIMANTAN TIMUR
Bagendang Hilir,village,-2.79109,112.92656,KALIMANTAN TENGAH
Pematang Karangan Hulu,village,-2.95567,115.10214,KALIMANTAN SELATAN
Pakutik,village,-3.18694,115.24408,KALIMANTAN SELATAN
Telaga Hanyar,village,-2.42709,115.22539,KALIMANTAN SELATAN
Beringin,village,-2.40418,115.31582,KALIMANTAN SELATAN
Banturung,village,-1.99386,113.76013,KALIMANTAN TENGAH
Tamban Baru Timur,village,-3.25303,114.40566,KALIMANTAN SELATAN
Antar Baru,village,-2.91624,114.72804,KALIMANTAN SELATAN
Petak Batuah,village,-2.70232,114.62799,KALIMANTAN TENGAH
Banua Hanyar,village,-3.38963,114.63832,KALIMANTAN SELATAN
Wuran,village,-1.90646,115.04946,KALIMANTAN TENGAH
Keramat,village,-2.45495,115.22652,KALIMANTAN SELATAN
Labat Muara,village,-3.49478,114.52024,KALIMANTAN SELATAN
Geragu,village,-1.56195,113.19175,KALIMANTAN TENGAH
Tibung Raya,village,-2.79479,115.26172,KALIMANTAN SELATAN
Kuringkit,village,-3.98602,114.70677,KALIMANTAN SELATAN
Pabaungan Pantai,village,-2.82764,115.01993,KALIMANTAN SELATAN
Pangkoh Hilir,village,-3.06736,114.15374,KALIMANTAN TENGAH
Mangkusip,village,-2.21066,115.36981,KALIMANTAN SELATAN
Tampang,village,-2.36146,115.35826,KALIMANTAN SELATAN
Keliling Benteng Ilir,village,-3.31149,114.75756,KALIMANTAN SELATAN
Babat Raya,village,-3.02683,114.62701,KALIMANTAN SELATAN
Banua Rantau,village,-2.30192,115.27688,KALIMANTAN SELATAN
Samhurang,village,-2.61467,115.24721,KALIMANTAN SELATAN
Parenggean,village,-2.02491,112.79733,KALIMANTAN TENGAH
Karang Indah,village,-3.71425,115.60577,KALIMANTAN SELATAN
Sungai Rangas,village,-3.31408,114.77813,KALIMANTAN SELATAN
Tumbang Sepayang,village,-1.64487,112.61211,KALIMANTAN TENGAH
Pangkalan Sari,village,-2.47613,115.21266,KALIMANTAN SELATAN
Asam,village,-2.83932,115.20305,KALIMANTAN SELATAN
Batalang,village,-3.91915,114.92404,KALIMANTAN SELATAN
Layap,village,-2.33519,115.44414,KALIMANTAN SELATAN
Kakaran,village,-2.90725,115.14856,KALIMANTAN SELATAN
Padangin,village,-2.23711,115.34602,KALIMANTAN SELATAN
Binuang Santang,village,-2.39579,115.69447,KALIMANTAN SELATAN
Tanipah,village,-3.22887,114.66945,KALIMANTAN SELATAN
Pandamaan,village,-2.46169,115.10408,KALIMANTAN SELATAN
Batampang,village,-1.99218,114.79595,KALIMANTAN TENGAH
Tabudarat Hulu,village,-2.6573,115.31642,KALIMANTAN SELATAN
Tumbang Sapiri,village,-1.98482,112.49465,KALIMANTAN TENGAH
Takuti,village,-3.35346,115.00379,KALIMANTAN SELATAN
Tanjung Sangalang,village,-2.15393,113.94321,KALIMANTAN TENGAH
Baruh Kembang,village,-2.62253,115.10551,KALIMANTAN SELATAN
Martadah,village,-3.63042,114.77777,KALIMANTAN SELATAN
Sungai Pantai,village,-3.13396,114.68731,KALIMANTAN SELATAN
Telang,village,-2.09702,115.01909,KALIMANTAN TENGAH
Usih,village,-1.9905,115.4481,KALIMANTAN SELATAN
Sekata Makmur,village,-2.57271,114.49932,KALIMANTAN TENGAH
Jelapat I,village,-3.26307,114.54801,KALIMANTAN SELATAN
Kalumpang Luar,village,-2.52244,115.12981,KALIMANTAN SELATAN
Wawai,village,-2.55386,115.46938,KALIMANTAN SELATAN
Baramban,village,-2.95273,115.26455,KALIMANTAN SELATAN
Subur Indah,village,-3.15951,113.33538,KALIMANTAN TENGAH
Benua Tengah,village,-3.87623,114.66063,KALIMANTAN SELATAN
Lok Lahung,village,-2.80489,115.50321,KALIMANTAN SELATAN
Anjir Serapat Baru,village,-3.17599,114.52251,KALIMANTAN SELATAN
Ruhing Raya,village,-1.57603,115.06342,KALIMANTAN TENGAH
Suriyan,village,-2.01965,115.47188,KALIMANTAN SELATAN
Beringin Kencana,village,-3.39591,114.40419,KALIMANTAN SELATAN
Karau,village,-2.51514,115.45071,KALIMANTAN SELATAN
Malintang,village,-3.43012,114.63052,KALIMANTAN SELATAN
Halimaung Jaya,village,-3.2565,112.55105,KALIMANTAN TENGAH
Tungkup,village,-2.59948,115.28074,KALIMANTAN SELATAN
Sungai Jelai,village,-3.70715,114.74441,KALIMANTAN SELATAN
Bapeang,village,-2.65392,112.96922,KALIMANTAN TENGAH
Harapan Masa,village,-2.98105,115.13975,KALIMANTAN SELATAN
Paliwara,village,-2.41495,115.25131,KALIMANTAN SELATAN
Sumber Rejeki,village,-2.24292,115.58221,KALIMANTAN SELATAN
Jambu,village,-2.71229,114.76724,KALIMANTAN TENGAH
Kota Besi Hilir,village,-2.39306,112.99408,KALIMANTAN TENGAH
Teluk Palinget,village,-2.94692,114.43658,KALIMANTAN TENGAH
Keramat Baru,village,-3.38878,114.83211,KALIMANTAN SELATAN
Ilir Mesjid,village,-2.44602,115.23651,KALIMANTAN SELATAN
Artain,village,-3.52195,115.14133,KALIMANTAN SELATAN
Tarusan Danum,village,-1.78007,113.29858,KALIMANTAN TENGAH
Balanti,village,-2.82101,115.15394,KALIMANTAN SELATAN
Ranggang Dalam,village,-3.82165,114.68244,KALIMANTAN SELATAN
Batang Kulur Tengah,village,-2.84936,115.23012,KALIMANTAN SELATAN
Papuyu III Sei. Pudak,village,-3.3109,114.04264,KALIMANTAN TENGAH
Benua Anyar,village,-3.18899,114.95256,KALIMANTAN SELATAN
Habirau,village,-2.63533,115.09665,KALIMANTAN SELATAN
Rukam Hulu,village,-2.43876,115.21195,KALIMANTAN SELATAN
Bagus,village,-3.00069,114.7779,KALIMANTAN SELATAN
Bumi Rahayu,village,-2.72865,114.52828,KALIMANTAN TENGAH
Jawa Laut,village,-3.41276,114.85358,KALIMANTAN SELATAN
Sarang Burung,village,-2.46952,115.1353,KALIMANTAN SELATAN
Tebing Tinggi,village,-2.81862,115.20017,KALIMANTAN SELATAN
Sungai Cuka,village,-3.8387,115.33356,KALIMANTAN SELATAN
Balang,village,-2.31688,115.49687,KALIMANTAN SELATAN
Baringin B,village,-2.87987,114.93988,KALIMANTAN SELATAN
Tibarau Panjang,village,-3.43617,115.72312,KALIMANTAN SELATAN
Batu Merah,village,-2.35659,115.38678,KALIMANTAN SELATAN
Mangkauk,village,-3.27527,115.11156,KALIMANTAN SELATAN
Kertak Hanyar II,village,-3.35999,114.63234,KALIMANTAN SELATAN
Tuhuran,village,-2.35603,115.24811,KALIMANTAN SELATAN
Rantau Kujang,village,-2.44606,114.91396,KALIMANTAN TENGAH
Mahang Baru,village,-2.65518,115.29359,KALIMANTAN SELATAN
Lano,village,-1.74995,115.66045,KALIMANTAN SELATAN
Tangar,village,-2.18433,112.67528,KALIMANTAN TENGAH
Pasar Jati,village,-3.36322,114.91519,KALIMANTAN SELATAN
Kupang Bersih,village,-1.84954,115.03302,KALIMANTAN TENGAH
Padang Bangkal,village,-2.48398,115.16124,KALIMANTAN SELATAN
Hamayung,village,-2.58074,115.11676,KALIMANTAN SELATAN
Panggung,village,-3.76034,114.76748,KALIMANTAN SELATAN
Kupang,village,-2.3257,115.39247,KALIMANTAN SELATAN
Patih Selera,village,-3.09798,114.64323,KALIMANTAN SELATAN
Awayan Hilir,village,-2.40591,115.52811,KALIMANTAN SELATAN
Pantai,village,-2.78672,114.41073,KALIMANTAN TENGAH
Anjir Serapat Muara,village,-3.21245,114.53783,KALIMANTAN SELATAN
Palimbang Gusti,village,-2.398,115.23352,KALIMANTAN SELATAN
Tetei Lanan,village,-1.69966,115.00382,KALIMANTAN TENGAH
Lokbuntar,village,-2.69803,115.35678,KALIMANTAN SELATAN
Waringin Agung,village,-1.55267,112.69272,KALIMANTAN TENGAH
Beringin Agung,village,-1.80958,112.62151,KALIMANTAN TENGAH
Jati Baru,village,-3.37858,114.90947,KALIMANTAN SELATAN
Bereng Rambang,village,-1.81062,113.95628,KALIMANTAN TENGAH
Damar Lima,village,-3.90306,114.8811,KALIMANTAN SELATAN
Mandala,village,-2.73624,115.33714,KALIMANTAN SELATAN
Belandean Muara,village,-3.17987,114.58195,KALIMANTAN SELATAN
Burum,village,-1.94137,115.43686,KALIMANTAN SELATAN
Lahei Mangkutup,village,-1.9757,114.23086,KALIMANTAN TENGAH
Tinggiran Tengah,village,-3.28911,114.51326,KALIMANTAN SELATAN
Hambuku Lima,village,-2.50902,115.16576,KALIMANTAN SELATAN
Banua Batung,village,-2.55734,115.36204,KALIMANTAN SELATAN
Sungai Tiung,village,-3.50141,114.84069,KALIMANTAN SELATAN
Jaya Kelapa,village,-2.82626,112.95914,KALIMANTAN TENGAH
Kupang,village,-2.94628,115.14653,KALIMANTAN SELATAN
Baun Bango,village,-2.27033,113.47282,KALIMANTAN TENGAH
Padang Basar Hilir,village,-2.40229,115.26411,KALIMANTAN SELATAN
Puyun,village,-2.19281,115.66138,KALIMANTAN SELATAN
Binuang,village,-3.15731,115.08742,KALIMANTAN SELATAN
Kasiau Raya,village,-2.08354,115.46246,KALIMANTAN SELATAN
Panarung,village,-2.93451,114.28566,KALIMANTAN TENGAH
Mekar Raya,village,-3.37851,114.66067,KALIMANTAN SELATAN
Haur Gading,village,-2.46742,115.40661,KALIMANTAN SELATAN
Balimau,village,-3.43972,114.58267,KALIMANTAN SELATAN
Rantau Keminting,village,-2.61116,115.30587,KALIMANTAN SELATAN
Handil Birayang Bawah,village,-3.56921,114.63629,KALIMANTAN SELATAN
Cempaka Mulia Barat,village,-2.30491,113.00877,KALIMANTAN TENGAH
Salam Babaris,village,-3.04058,115.1907,KALIMANTAN SELATAN
Kota Raja,village,-2.42873,115.24184,KALIMANTAN SELATAN
Mamar,village,-2.41401,115.22563,KALIMANTAN SELATAN
Kanarakan,village,-1.8844,113.76314,KALIMANTAN TENGAH
Anjir Serapat Barat,village,-3.09119,114.45619,KALIMANTAN TENGAH
Karya Baru,village,-3.01353,114.62942,KALIMANTAN SELATAN
Saka Binjai,village,-2.68912,114.70326,KALIMANTAN TENGAH
Pandan Sari,village,-3.38265,114.58063,KALIMANTAN SELATAN
Kantan Dalam,village,-3.00541,114.09542,KALIMANTAN TENGAH
Cangkering,village,-2.44029,115.21986,KALIMANTAN SELATAN
Aluh Aluh Besar,village,-3.45592,114.52458,KALIMANTAN SELATAN
Tumbang Liting,village,-1.94597,113.38592,KALIMANTAN TENGAH
Panggungan,village,-2.81934,115.40013,KALIMANTAN SELATAN
Batakan,village,-4.08294,114.63617,KALIMANTAN SELATAN
Balawaian,village,-2.93427,115.44641,KALIMANTAN SELATAN
Pangkoh Sari,village,-3.05771,114.1334,KALIMANTAN TENGAH
Sari Utama,village,-3.57689,115.77767,KALIMANTAN SELATAN
Kupang Rejo,village,-3.20431,115.21564,KALIMANTAN SELATAN
Waringin Kencana,village,-3.05071,114.54466,KALIMANTAN SELATAN
Jarang Kuantan,village,-2.4344,115.24093,KALIMANTAN SELATAN
Aluan Mati,village,-2.6141,115.42327,KALIMANTAN SELATAN
Karang Tunggal,village,-1.97301,112.86263,KALIMANTAN TENGAH
Limamar,village,-3.3504,114.87728,KALIMANTAN SELATAN
Putai,village,-1.80255,115.11973,KALIMANTAN TENGAH
Pajukungan Hulu,village,-2.48397,115.11099,KALIMANTAN SELATAN
Mirah Kalanaman,village,-1.58792,112.96124,KALIMANTAN TENGAH
Jelatang,village,-2.83499,115.29408,KALIMANTAN SELATAN
Tajau Mulia,village,-3.89856,114.81277,KALIMANTAN SELATAN
Puncak Harapan,village,-2.89259,115.23491,KALIMANTAN SELATAN
Pasar Panas,village,-2.19973,115.24341,KALIMANTAN TENGAH
Tabuan,village,-2.3078,115.67662,KALIMANTAN SELATAN
Lumpangi,village,-3.28018,115.13773,KALIMANTAN SELATAN
Belawang Kolam Kiri,village,-3.05625,114.61019,KALIMANTAN SELATAN
Bungin,village,-2.3323,115.27523,KALIMANTAN SELATAN
Tilahan,village,-2.67045,115.45539,KALIMANTAN SELATAN
Bawan,village,-1.93793,112.53425,KALIMANTAN TENGAH
Kelampaian Tengah,village,-3.35802,114.86952,KALIMANTAN SELATAN
Tuwung,village,-2.05835,113.94461,KALIMANTAN TENGAH
Pandan Sari,village,-2.63206,115.11281,KALIMANTAN SELATAN
Kayu Abang,village,-3.64091,114.65074,KALIMANTAN SELATAN
Hilir Pasar,village,-2.33407,115.37772,KALIMANTAN SELATAN
Anjir Pasar Kota II,village,-3.15221,114.50421,KALIMANTAN SELATAN
Tangkan,village,-2.01296,115.27291,KALIMANTAN TENGAH
Sriwidadi,village,-2.58112,114.52206,KALIMANTAN TENGAH
Karuh,village,-2.45887,115.4757,KALIMANTAN SELATAN
Indah Sari,village,-3.26712,114.41285,KALIMANTAN SELATAN
Sungai Turak,village,-2.3861,115.2786,KALIMANTAN SELATAN
Bintang Kurung,village,-1.84846,114.77766,KALIMANTAN TENGAH
Birayang,village,-2.54897,115.44751,KALIMANTAN SELATAN
Agung Mulya,village,-1.77177,112.6266,KALIMANTAN TENGAH
Banua Halat Kiri,village,-2.91393,115.15194,KALIMANTAN SELATAN
Bangun Jaya,village,-3.08827,113.29239,KALIMANTAN TENGAH
Batu Ampar,village,-3.88633,114.83166,KALIMANTAN SELATAN
Bamban Selatan,village,-2.71821,115.29845,KALIMANTAN SELATAN
Belandean,village,-3.18989,114.59185,KALIMANTAN SELATAN
Gagutur,village,-1.60869,115.14413,KALIMANTAN TENGAH
Waling,village,-2.02585,115.44581,KALIMANTAN SELATAN
Tabunganen Muara,village,-3.41758,114.49286,KALIMANTAN SELATAN
Hambuku Hilir,village,-2.52605,115.16973,KALIMANTAN SELATAN
Hulu Rasau,village,-2.57827,115.36366,KALIMANTAN SELATAN
Kait Kait,village,-3.60194,114.80468,KALIMANTAN SELATAN
Batuah,village,-2.47354,113.05725,KALIMANTAN TENGAH
Muara Payang,village,-1.52768,115.83417,KALIMANTAN TIMUR
Rantau Bujur,village,-3.0155,115.24722,KALIMANTAN SELATAN
Timbun Tulang,village,-2.43753,115.4182,KALIMANTAN SELATAN
Pal Batu,village,-2.42191,115.01713,KALIMANTAN SELATAN
Bamban,village,-2.15051,115.26895,KALIMANTAN TENGAH
Galumbang,village,-2.25369,115.60696,KALIMANTAN SELATAN
Mabuan,village,-1.67148,114.81444,KALIMANTAN TENGAH
Karya Makmur,village,-2.8182,114.64311,KALIMANTAN SELATAN
Kenyala,village,-2.28734,112.68254,KALIMANTAN TENGAH
Bunga Mawar,village,-2.91508,114.46398,KALIMANTAN TENGAH
Pembataan,village,-2.17311,115.40023,KALIMANTAN SELATAN
Antasan Senor Ilir,village,-3.4019,114.84872,KALIMANTAN SELATAN
Abung Surapati,village,-2.53282,115.47296,KALIMANTAN SELATAN
Lihung,village,-3.4371,114.92685,KALIMANTAN SELATAN
Mekar Indah,village,-3.21935,112.49589,KALIMANTAN TENGAH
Kandangan Barat,village,-2.7787,115.25771,KALIMANTAN SELATAN
Kuala Tambangan,village,-3.94225,114.65539,KALIMANTAN SELATAN
Ida Manggala,village,-2.86665,115.23488,KALIMANTAN SELATAN
Sebangau Permai,village,-2.92808,113.82595,KALIMANTAN TENGAH
Belimbing Baru,village,-3.14372,115.3114,KALIMANTAN SELATAN
Palampitan Hilir,village,-2.42466,115.24487,KALIMANTAN SELATAN
Patarikan,village,-2.41393,115.26434,KALIMANTAN SELATAN
Bereng Bengkel,village,-2.25226,114.02841,KALIMANTAN TENGAH
Tabak Kanilan,village,-1.55741,115.05505,KALIMANTAN TENGAH
Sido Mulyo,village,-3.01818,114.59526,KALIMANTAN SELATAN
Sumber Mulya,village,-2.61241,114.74423,KALIMANTAN TENGAH
Tanjung Rema Darat,village,-3.42165,114.85514,KALIMANTAN SELATAN
Pulau Padang,village,-2.08496,115.31507,KALIMANTAN TENGAH
Rantawan,village,-2.4578,115.22896,KALIMANTAN SELATAN
Simpang Warga Dalam,village,-3.47086,114.52998,KALIMANTAN SELATAN
Manduing Taheta,village,-1.66209,113.26124,KALIMANTAN TENGAH
Amawang Kiri Muka,village,-2.78178,115.25643,KALIMANTAN SELATAN
Mekar Sari,village,-3.85553,115.33471,KALIMANTAN SELATAN
Kapul,village,-2.25803,115.65936,KALIMANTAN SELATAN
Bundung,village,-2.89602,115.13669,KALIMANTAN SELATAN
Pacakan,village,-3.45509,115.76579,KALIMANTAN SELATAN
Uren,village,-2.34061,115.71938,KALIMANTAN SELATAN
Paring Tali,village,-3.26862,115.07885,KALIMANTAN SELATAN
Bamban Utara,village,-2.70503,115.30791,KALIMANTAN SELATAN
Tamiyang,village,-2.26334,115.42755,KALIMANTAN SELATAN
Taal,village,-2.64327,115.36896,KALIMANTAN SELATAN
Tanjung Bantur,village,-2.07629,112.62028,KALIMANTAN TENGAH
Namun,village,-1.85983,115.61921,KALIMANTAN SELATAN
Bawahan Pasar,village,-3.33574,114.95142,KALIMANTAN SELATAN
Nagaleah,village,-1.80778,115.09899,KALIMANTAN TENGAH
Tambalang Tengah,village,-2.47686,115.19688,KALIMANTAN SELATAN
Batu Bini,village,-2.81852,115.32313,KALIMANTAN SELATAN
Pabahanan,village,-3.77599,114.77335,KALIMANTAN SELATAN
Gulinggang,village,-2.34281,115.56514,KALIMANTAN SELATAN
Sungai Seluang,village,-3.12732,114.5908,KALIMANTAN SELATAN
Teluk Hiri,village,-2.73537,114.4396,KALIMANTAN TENGAH
Awayan,village,-2.41241,115.52991,KALIMANTAN SELATAN
Puntik Luar,village,-3.24271,114.66098,KALIMANTAN SELATAN
Panawakan,village,-2.36248,115.26595,KALIMANTAN SELATAN
Kiram Atas,hamlet,-3.54952,114.92575,KALIMANTAN SELATAN
Sungai Jaya,village,-2.37438,114.7757,KALIMANTAN TENGAH
Kindingan,village,-2.73516,115.4336,KALIMANTAN SELATAN
Tumbang Mangkup,village,-1.77789,112.55435,KALIMANTAN TENGAH
Abumbun Jaya,village,-3.33794,114.7033,KALIMANTAN SELATAN
Tumbang Tarusan,village,-1.5815,113.92717,KALIMANTAN TENGAH
Baru,village,-2.68099,115.05448,KALIMANTAN SELATAN
Galam,village,-3.80561,114.83134,KALIMANTAN SELATAN
Sampurna,village,-3.19926,114.72777,KALIMANTAN SELATAN
Kampung Baru,village,-1.94378,115.61312,KALIMANTAN SELATAN
Purwosari Baru,village,-3.33999,114.47403,KALIMANTAN SELATAN
Jalan Lurus,village,-2.49062,115.21625,KALIMANTAN SELATAN
Limbar,village,-2.53913,115.44001,KALIMANTAN SELATAN
Ujung Pandaran,village,-3.16281,113.00386,KALIMANTAN TENGAH
Bungur Baru,village,-2.95652,115.14725,KALIMANTAN SELATAN
Petak Bahandang,village,-2.07389,113.44818,KALIMANTAN TENGAH
Ranggang,village,-3.83766,114.68724,KALIMANTAN SELATAN
Hulu Banyu,village,-2.79874,115.45208,KALIMANTAN SELATAN
Mihu,village,-2.22238,115.61968,KALIMANTAN SELATAN
Tabatan Baru,village,-2.57033,114.82799,KALIMANTAN SELATAN
Palangan,village,-2.3084,112.74465,KALIMANTAN TENGAH
Hikun,village,-2.14002,115.38917,KALIMANTAN SELATAN
Pekauman Dalam,village,-3.39118,114.83669,KALIMANTAN SELATAN
Limpasu,village,-2.49156,115.48777,KALIMANTAN SELATAN
Tatah Jaruju,village,-3.42545,114.60319,KALIMANTAN SELATAN
Pematang Panjang,village,-3.37255,112.57503,KALIMANTAN TENGAH
Mahang Putat,village,-2.5769,115.34185,KALIMANTAN SELATAN
Sungai Rasau,village,-3.58214,114.58617,KALIMANTAN SELATAN
Bapinang Hulu,village,-2.79511,112.94993,KALIMANTAN TENGAH
Kambang Kuning,village,-3.14348,115.1416,KALIMANTAN SELATAN
Pakacangan,village,-2.41445,115.25636,KALIMANTAN SELATAN
Sungai Telang,village,-1.56098,114.94935,KALIMANTAN TENGAH
Dwipa Sari,village,-2.97189,114.55881,KALIMANTAN SELATAN
Kerta Buana,village,-3.65327,115.69452,KALIMANTAN SELATAN
Sungai Sipai,village,-3.42193,114.82906,KALIMANTAN SELATAN
Sei Baru Tewu,village,-2.87143,114.19355,KALIMANTAN TENGAH
Karias Dalam,village,-2.42412,115.2715,KALIMANTAN SELATAN
Tiwingan Lama,village,-3.52111,115.00703,KALIMANTAN SELATAN
Talian Kereng,village,-1.90608,113.354,KALIMANTAN TENGAH
Gambah Luar,village,-2.76811,115.26638,KALIMANTAN SELATAN
Bawah Layung,village,-3.67227,114.62549,KALIMANTAN SELATAN
Bitahan,village,-2.92263,115.17978,KALIMANTAN SELATAN
Sanggang,village,-3.08572,114.20129,KALIMANTAN TENGAH
Teluk Kepayang,village,-3.42245,115.68884,KALIMANTAN SELATAN
