nama,jenis,lat,lon,provinsi
Sumber Mulya,village,-2.15887,111.39265,KALIMANTAN TENGAH
Riam Panahan,village,-1.73463,111.08877,KALIMANTAN TENGAH
Sengkaharak,village,-1.83648,110.5534,KALIMANTAN BARAT
Penopa,village,-1.94133,111.17564,KALIMANTAN TENGAH
Pangkalan Muntai,village,-2.39368,111.25006,KALIMANTAN TENGAH
Kendawangan Kiri,village,-2.51606,110.19899,KALIMANTAN BARAT
Serengkah,village,-1.7764,110.70264,KALIMANTAN BARAT
Beringin Jaya,village,-1.72554,110.39691,KALIMANTAN BARAT
Muntai,village,-2.4029,110.67971,KALIMANTAN BARAT
Kebon Agung,village,-2.37374,111.90862,KALIMANTAN TENGAH
Pulau Nibung,village,-2.89677,110.85434,KALIMANTAN TENGAH
Sungai Bakau,village,-1.98018,110.11095,KALIMANTAN BARAT
Karang Besi,village,-1.73498,111.44985,KALIMANTAN TENGAH
Pandau,village,-1.98177,111.92986,KALIMANTAN TENGAH
Rantau Pulut,village,-1.92541,112.11723,KALIMANTAN TENGAH
Siantau Raya,village,-1.63612,110.52397,KALIMANTAN BARAT
Batu Kotam,village,-2.28863,111.47328,KALIMANTAN TENGAH
Rungun,village,-2.38011,111.45477,KALIMANTAN TENGAH
Teluk Bogam,village,-3.01252,111.54991,KALIMANTAN TENGAH
Suka Maju,village,-1.90838,111.51174,KALIMANTAN TENGAH
Liku,village,-1.67078,111.17462,KALIMANTAN TENGAH
Bukit Gajah,village,-2.36375,110.91473,KALIMANTAN BARAT
Candi,village,-2.73152,111.71974,KALIMANTAN TENGAH
Bakonsu,village,-1.93179,111.38352,KALIMANTAN TENGAH
Nibung Terjun,village,-2.24309,111.09376,KALIMANTAN TENGAH
Air Upas,village,-2.31693,110.8235,KALIMANTAN BARAT
Suka Maju,village,-2.21881,112.05728,KALIMANTAN TENGAH
Pembuang Hulu I,village,-2.49985,112.12789,KALIMANTAN TENGAH
Sungai Melayu Baru,village,-1.77945,110.40993,KALIMANTAN BARAT
Suka Ramai,village,-2.70467,111.16656,KALIMANTAN TENGAH
Rangda,village,-2.40251,111.60321,KALIMANTAN TENGAH
Modang Mas,village,-2.02137,111.68414,KALIMANTAN TENGAH
Sungai Pasir,village,-2.92738,111.27617,KALIMANTAN TENGAH
Periangan,village,-2.05929,110.87029,KALIMANTAN BARAT
Purwareja,village,-2.23416,111.51303,KALIMANTAN TENGAH
Asam Baru,village,-2.3965,112.18944,KALIMANTAN TENGAH
Sungai Putri,village,-1.62359,110.05193,KALIMANTAN BARAT
Pangke,village,-1.66366,111.98338,KALIMANTAN TENGAH
Kumpai Batu Bawah,village,-2.77298,111.5349,KALIMANTAN TENGAH
Kina,village,-1.50403,111.1543,KALIMANTAN TENGAH
Bumi Harjo,village,-2.62041,111.74234,KALIMANTAN TENGAH
Sungkup,village,-1.95611,111.5729,KALIMANTAN TENGAH
Laman Baru,village,-2.24288,111.28887,KALIMANTAN TENGAH
Sukaraja,village,-2.3362,110.61703,KALIMANTAN BARAT
Sungai Buluh,village,-1.9238,111.4125,KALIMANTAN TENGAH
Sungai Rangit Jaya,village,-2.56499,111.75663,KALIMANTAN TENGAH
Sungai Kelik,village,-1.55896,110.4055,KALIMANTAN BARAT
Gantung Pangayuh,village,-2.13687,112.18148,KALIMANTAN TENGAH
Tempayung,village,-2.53672,111.31218,KALIMANTAN TENGAH
Sungai Nanjung,village,-2.14688,110.11493,KALIMANTAN BARAT
Suka Mulya,village,-1.80828,110.41322,KALIMANTAN BARAT
Bunut,village,-2.11601,111.4617,KALIMANTAN TENGAH
Pudu,village,-2.6942,111.19672,KALIMANTAN TENGAH
Air Dua,village,-2.3829,111.15333,KALIMANTAN TENGAH
Terusan,village,-2.2551,110.95057,KALIMANTAN BARAT
Tanjung Rangas II,village,-2.32017,112.18694,KALIMANTAN TENGAH
Mendawai,village,-2.68331,111.62266,KALIMANTAN TENGAH
Lalang Panjang,village,-1.75993,110.54882,KALIMANTAN BARAT
Mulya Jadi,village,-2.56785,111.86443,KALIMANTAN TENGAH
Sepondam,village,-1.86652,111.59328,KALIMANTAN TENGAH
Kuala Jelai,village,-2.98579,110.73919,KALIMANTAN TENGAH
Pesaguan Kanan,village,-2.03956,110.12384,KALIMANTAN BARAT
Nanga Matu,village,-1.53399,111.39012,KALIMANTAN TENGAH
Sembikuan,village,-2.213,111.13062,KALIMANTAN TENGAH
Ayawan,village,-2.03633,112.19245,KALIMANTAN TENGAH
Ulak Medang,village,-1.66492,110.27317,KALIMANTAN BARAT
Kotawaringin Hilir,village,-2.4904,111.43983,KALIMANTAN TENGAH
Tanjung Pasar,village,-1.82452,110.10123,KALIMANTAN BARAT
Sungai Kapitan,village,-2.751,111.69851,KALIMANTAN TENGAH
Tamiang,village,-1.99695,111.42559,KALIMANTAN TENGAH
