nama,jenis,lat,lon,provinsi,pm25_h1,pm25_h2,pm25_h3,jarak_grid_km_h1,jarak_grid_km_h2,jarak_grid_km_h3,tanggal_ramal_h1,tanggal_ramal_h2,tanggal_ramal_h3
Sungai Bedaun,village,-2.76206,111.78302,KALIMANTAN TENGAH,37.840110778808594,39.550201416015625,34.34861755371094,21.467163274206595,21.467163274206595,21.467163274206595,2026-09-13,2026-09-14,2026-09-15
Nanga Palikodan,village,-1.9863,111.51202,KALIMANTAN TENGAH,52.10718536376953,53.92253112792969,42.75602722167969,25.69489214213322,25.69489214213322,25.69489214213322,2026-09-13,2026-09-14,2026-09-15
Semantun,village,-2.19404,111.15902,KALIMANTAN TENGAH,77.36788177490234,85.69588470458984,63.98770523071289,6.591301661346945,6.591301661346945,6.591301661346945,2026-09-13,2026-09-14,2026-09-15
Suka Mulia,village,-2.3389,110.6462,KALIMANTAN BARAT,51.34287643432617,53.712745666503906,43.279014587402344,16.275648921134195,16.275648921134195,16.275648921134195,2026-09-13,2026-09-14,2026-09-15
Belibi,village,-1.8266,111.43112,KALIMANTAN TENGAH,85.05366516113281,91.40401458740234,62.4100227355957,23.46212922048259,23.46212922048259,23.46212922048259,2026-09-13,2026-09-14,2026-09-15
Purbasari,village,-2.60558,111.72164,KALIMANTAN TENGAH,37.840110778808594,39.550201416015625,34.34861755371094,17.11091822780615,17.11091822780615,17.11091822780615,2026-09-13,2026-09-14,2026-09-15
Derawa,village,-2.14974,112.16607,KALIMANTAN TENGAH,51.594444274902344,53.660369873046875,46.178382873535156,9.226516238533996,9.226516238533996,9.226516238533996,2026-09-13,2026-09-14,2026-09-15
Babual Baboti,village,-2.58273,111.32033,KALIMANTAN TENGAH,55.57344055175781,56.33685302734375,45.24708557128906,27.73069639342552,27.73069639342552,27.73069639342552,2026-09-13,2026-09-14,2026-09-15
Kemuning Biutak,village,-1.94649,110.40384,KALIMANTAN BARAT,53.908782958984375,55.156822204589844,44.67799758911133,35.02146928315296,35.02146928315296,35.02146928315296,2026-09-13,2026-09-14,2026-09-15
Sungai Bakau,village,-2.98259,111.5862,KALIMANTAN TENGAH,37.840110778808594,39.550201416015625,34.34861755371094,31.459927620776867,31.459927620776867,31.459927620776867,2026-09-13,2026-09-14,2026-09-15
Arga Mulya,village,-2.14228,111.39486,KALIMANTAN TENGAH,52.10718536376953,53.92253112792969,42.75602722167969,23.680503560279508,23.680503560279508,23.680503560279508,2026-09-13,2026-09-14,2026-09-15
Benakitan,village,-1.68972,111.16507,KALIMANTAN TENGAH,90.07027435302734,96.74232482910156,65.80044555664062,7.3220651024381525,7.3220651024381525,7.3220651024381525,2026-09-13,2026-09-14,2026-09-15
Kepuluk,village,-1.8406,110.41899,KALIMANTAN BARAT,53.908782958984375,55.156822204589844,44.67799758911133,25.478369574376558,25.478369574376558,25.478369574376558,2026-09-13,2026-09-14,2026-09-15
Tri Tunggal,village,-2.19335,111.55861,KALIMANTAN TENGAH,52.10718536376953,53.92253112792969,42.75602722167969,4.658042551572375,4.658042551572375,4.658042551572375,2026-09-13,2026-09-14,2026-09-15
Jihing,village,-2.40653,111.15186,KALIMANTAN TENGAH,77.36788177490234,85.69588470458984,63.98770523071289,23.676884257977797,23.676884257977797,23.676884257977797,2026-09-13,2026-09-14,2026-09-15
Batang Belian,hamlet,-2.28127,110.68073,KALIMANTAN BARAT,51.34287643432617,53.712745666503906,43.279014587402344,12.732757535283378,12.732757535283378,12.732757535283378,2026-09-13,2026-09-14,2026-09-15
Tanjung Paring,village,-2.36252,112.17487,KALIMANTAN TENGAH,51.594444274902344,53.660369873046875,46.178382873535156,19.894068865938195,19.894068865938195,19.894068865938195,2026-09-13,2026-09-14,2026-09-15
Pebihingan,village,-1.7431,110.56945,KALIMANTAN BARAT,53.908782958984375,55.156822204589844,44.67799758911133,5.87343993329196,5.87343993329196,5.87343993329196,2026-09-13,2026-09-14,2026-09-15
